nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
sef oficiu regional de audit,Şef oficiu regional de audit,VIII,personal contractual,82.40114003.02.2,1,VIII CII A 1!162
sef pregatire activitati aeronautice,Șef pregatire activități aeronautice,VIII,personal contractual,,1,VIII CII F!14
sef pregatire la sol,Şef pregătire la sol,VIII,personal contractual,,1,VIII CII F!17
sef punct de lucru,șef punct de lucru,VIII,personal contractual,82.40101010.01.2,1,VIII CII A 1!19
sef sectie,Şef secţie,III|VII|VIII,funcționar public|personal contractual,31.00101005.01.2|31.00102005.01.2|32.00101005.01.2|32.00102005.01.2|33.00101005.01.2|33.00102005.01.2|81.10103005.03.2|82.40201005.07.2|82.50125005.02.2|82.60127005.02.2,15,III CI !12|III CI !67|III CII!13|III CII!43|III CIII!11|III CIII!41|VII CI !15|VII CI !30|VIII_CI_A_1!19|VIII CII A 2!15|VIII CII A 3_local1!13|VIII CII A 3_local2!13|VIII CII A 3_local3!14|VIII CII A 3_local4!15|VIII CII B!13
sef sectie intretinere si reparatii de baza,Şef secție întreținere și reparații de bază,VIII,personal contractual,,1,VIII CII F!19
sef sectie sef laborator sef serviciu medical si altele similare,"Șef secţie, şef laborator, șef serviciu medical și altele similare",II,,,1,II CI 1!32
sef sector,șef sector,VII|VIII,funcționar public|personal contractual,81.10103004.12.2|81.20107004.09.2|81.30110006.08.2|82.40201006.10.2|82.50125003.04.2|82.60127003.04.2,14,VII CI !16|VII CI !31|VIII_CI_A_1!18|VIII_CI_A_2!13|VIII CI A 3 (local1)!15|VIII CI A 3 (local2)!14|VIII CI A 3 (local3)!14|VIII CI A 3 (local4)!14|VIII CII A 2!13|VIII CII A 3_local1!11|VIII CII A 3_local2!11|VIII CII A 3_local3!12|VIII CII A 3_local4!13|VIII CII B!14
sef sector la consiliul legislativ,șef sector la Consiliul Legislativ,VIII,funcționar public,81.10103003.09.2,1,VIII_CI_A_1!17
sef sector tehnic,Şef sector tehnic,VIII,personal contractual,,1,VIII CII F!20
sef serviciu,Şef serviciu,I|III|IV|VII|VIII,funcționar public|personal contractual,11.00301005.01.2|31.00101006.01.2|31.00102006.01.2|32.00101006.01.2|32.00102006.01.2|33.00101006.01.2|33.00102006.01.2|35.00101003.01.2|81.10103005.03.2|81.20107005.02.2|81.30110007.02.2|81.30110007.04.2|82.40107006.01.2|82.40114003.02.2|82.40116004.01.1|82.40118003.01.1|82.40120006.01.1|82.40122005.01.2|82.40201005.07.2|82.50125005.02.2|82.60127005.02.2,32,I CI 1-3!27|III CI !13|III CI !68|III CII!14|III CII!44|III CIII!12|III CIII!42|III CV!10|III CV!30|IV CVII!14|VII CI !15|VII CI !30|VII CI !49|VIII_CI_A_1!19|VIII_CI_A_2!14|VIII CI A 3 (local1)!16|VIII CI A 3 (local2)!15|VIII CI A 3 (local3)!15|VIII CI A 3 (local4)!15|VIII CII A 1!83|VIII CII A 1!162|VIII CII A 1!178|VIII CII A 1!188|VIII CII A 1!204|VIII CII A 1!216|VIII CII A 2!15|VIII CII A 3_local1!13|VIII CII A 3_local2!13|VIII CII A 3_local3!14|VIII CII A 3_local4!15|VIII CII B!13|VIII CII F!25
sef serviciu aerodrom,Şef serviciu aerodrom,VIII,personal contractual,,1,VIII CII F!15
sef serviciu aeronave ultrausoare,Şef serviciu aeronave ultrauşoare,VIII,personal contractual,,1,VIII CII F!25
sef serviciu certificare personal si tehnica aeronautica,Şef serviciu certificare personal şi tehnică aeronautică,VIII,personal contractual,,1,VIII CII F!25
sef serviciu continuitatea navigabilitatii,Şef serviciu continuitatea navigabilităţii,VIII,personal contractual,,1,VIII CII F!25
sef serviciu cu rang de secretar iii,Şef serviciu cu rang de secretar III,IV,,41.00100007.01.2,1,IV CI + CII!14
sef serviciu cu rang diplomatic,Şef serviciu cu rang diplomatic,VIII,personal contractual,82.40103005.01.2,1,VIII CII A 1!49
sef serviciu de probatiune,Șef serviciu de probațiune,V,,57.00101005.01.1,1,V CVII!11
sef serviciu dispecerat zbor,Şef serviciu dispecerat zbor,VIII,personal contractual,,1,VIII CII F!26
sef serviciu in cadrul directiei nationale de probatiune,Șef Serviciu în cadrul Direcției Naționale de Probațiune,V,,57.00101003.01.1,1,V CVII!10
sef serviciu informare zboruri navigatie,Şef serviciu informare zboruri-navigaţie,VIII,personal contractual,,1,VIII CII F!26
sef serviciu intretinere aeronave,Şef serviciu întreţinere aeronave,VIII,personal contractual,,1,VIII CII F!19
sef serviciu isj,Șef serviciu - ISJ,I,,11.00302005.01.2,1,I CI 1-3!30
sef serviciu onrc,Șef serviciu ONRC,V,,56.00101005.01.2,1,V CVInef!12
sef serviciu sef sectie presedinte federatie,"Şef serviciu, șef secție, președinte federație",VIII,personal contractual,82.40101008.03.2,1,VIII CII A 1!17
sef serviciu voluntar pentru situatii de urgenta,Şef serviciu voluntar pentru situaţii de urgenţă,VIII,personal contractual,82.60130001.01.1,4,VIII CII A 3_local1!69|VIII CII A 3_local2!69|VIII CII A 3_local3!70|VIII CII A 3_local4!71
sef statie,șef stație,VIII,personal contractual,82.40201006.10.2,1,VIII CII B!14
sef timonier,Șef timonier,VIII,personal contractual,,1,VIII CII E!36
sef zbor aeroclub teritorial,Şef zbor aeroclub teritorial,VIII,personal contractual,,1,VIII CII F!17
seful cancelariei prim ministrului,Șeful Cancelariei Prim-ministrului,IX,,,1,IX B!38
seful statului major general,Şeful Statului Major General,VI,,,1,VI_Armata!10
senatori deputati,"Senatori, deputaţi",IX,,,1,IX A!19
servant pompier,Servant pompier,VIII,personal contractual,82.60130005.01.1,4,VIII CII A 3_local1!73|VIII CII A 3_local2!73|VIII CII A 3_local3!74|VIII CII A 3_local4!75
sofer,şofer,V|VIII,personal contractual,53.00101001.02.1|53.00101001.02.2|53.00101001.02.3|53.00101001.02.4|53.00101001.02.5|82.40302011.01.1|82.40302011.01.2|82.60128017.01.1|82.60128017.01.2,15,V CIII!8|V CIII!9|V CIII!10|V CIII!11|V CIII!12|VIII CII A 3_local1!56|VIII CII A 3_local1!57|VIII CII A 3_local2!56|VIII CII A 3_local2!57|VIII CII A 3_local3!57|VIII CII A 3_local3!58|VIII CII A 3_local4!58|VIII CII A 3_local4!59|VIII CII C!31|VIII CII C!32
sofer autosanitara i 6,Şofer autosanitară I *6,II,,21.00211005.01.1,1,II CI 2!84
sofer autosanitara ii 6,Şofer autosanitară II *6,II,,21.00209004.01.1,1,II CI 2!85
sofer autosanitara iii 6,Şofer autosanitară III *6,II,,21.00209005.01.1,1,II CI 2!86
soferi i ambulante veterinare autolaboratoare masini de dezinfectie masini de interventie si alte masini conducatori salupa motorist marinar,"Şoferi I - ambulanţe veterinare, autolaboratoare, maşini de dezinfecţie, maşini de intervenţie şi alte maşini, conducatori salupa, motorist, marinar",VIII,personal contractual,82.40124017.07.1,1,VIII CII A 1!240
soferi ii ambulante veterinare autolaboratoare masini de dezinfectie masini de interventie si alte masini conducatori salupa motorist marinar,"Şoferi II - ambulanţe veterinare, autolaboratoare, maşini de dezinfecţie, maşini de intervenţie şi alte maşini, conducatori salupa, motorist, marinar",VIII,personal contractual,82.40124018.07.1,1,VIII CII A 1!241
sora medicala,Soră medicală *,II,,21.00201045.01.1,1,II CI 2!49
sora medicala debutant,Soră medicală debutant *,II,,21.00201046.01.1,1,II CI 2!50
sora medicala masor,"Soră medicală, masor",II,,21.00303041.02.1|21.00303042.02.1|21.00303043.02.1,3,II CI 3!55|II CI 3!56|II CI 3!57
sora medicala principala,Soră medicală principală *,II,,21.00201044.01.1,1,II CI 2!48
specialist,specialist,II|VIII,personal contractual,21.00201023.02.1|82.40202003.02.1|82.40202003.02.2|82.40202003.02.3|82.40202003.02.4,5,II CI 2!30|VIII CII B!24|VIII CII B!25|VIII CII B!26|VIII CII B!27
specialist criminalist debutant,specialist criminalist -debutant,V,,52.00101009.07.1,1,V CII!23
specialist criminalist gradul i,specialist criminalist - gradul I,V,,52.00101007.07.1|52.00101007.07.2|52.00101007.07.3|52.00101007.07.4|52.00101007.07.5,5,V CII!13|V CII!14|V CII!15|V CII!16|V CII!17
specialist criminalist gradul ii,specialist criminalist - gradul II,V,,52.00101008.07.1|52.00101008.07.2|52.00101008.07.3|52.00101008.07.4|52.00101008.07.5,5,V CII!18|V CII!19|V CII!20|V CII!21|V CII!22
specialist gis,Specialist GIS,VIII,personal contractual,82.40108007.02.1|82.40108007.02.2|82.40108007.02.3|82.40108007.02.4,4,VIII CII A 1!103|VIII CII A 1!104|VIII CII A 1!105|VIII CII A 1!106
specialist in dezvoltare tic si managementul datelor,Specialist în dezvoltare TIC și managementul datelor,VIII,personal contractual,,4,VIII CII I!15|VIII CII I!22|VIII CII I!29|VIII CII I!36
specialist in furnizarea si suportul serviciilor tic,Specialist în furnizarea și suportul serviciilor TIC,VIII,personal contractual,,4,VIII CII I!13|VIII CII I!20|VIII CII I!27|VIII CII I!34
specialist in managementul serviciilor tic si e guvernare,Specialist în managementul serviciilor TIC și e-guvernare,VIII,personal contractual,,4,VIII CII I!14|VIII CII I!21|VIII CII I!28|VIII CII I!35
specialist it,Specialist IT,V,,56.00201001.02.1|56.00201002.02.1|56.00201003.02.1|56.00201004.02.1,4,V CVInef!16|V CVInef!17|V CVInef!18|V CVInef!19
specialist pentru prevenire,Specialist pentru prevenire,VIII,personal contractual,82.60130004.01.1,4,VIII CII A 3_local1!72|VIII CII A 3_local2!72|VIII CII A 3_local3!73|VIII CII A 3_local4!74
specialist securitate cibernetica,Specialist Securitate Cibernetica,VIII,personal contractual,,4,VIII CII I!12|VIII CII I!19|VIII CII I!26|VIII CII I!33
statistician,Statistician,VIII,personal contractual,,4,VIII CII A 1!261|VIII CII A 1!262|VIII CII A 1!263|VIII CII A 1!264
statistician medical,Statistician medical,II,,21.00201050.02.1|21.00201051.02.1|21.00201052.02.1,3,II CI 2!54|II CI 2!55|II CI 2!56
stenodactilograf,stenodactilograf,VIII,funcționar public|personal contractual,81.10105005.03.1|81.10105006.03.1|81.10105007.03.1|82.40302001.03.1|82.40302001.03.2|82.40302001.03.3|82.60128007.03.1|82.60128007.03.2|82.60128007.03.3,18,VIII_CI_A_1!46|VIII_CI_A_1!47|VIII_CI_A_1!48|VIII CII A 3_local1!38|VIII CII A 3_local1!39|VIII CII A 3_local1!40|VIII CII A 3_local2!38|VIII CII A 3_local2!39|VIII CII A 3_local2!40|VIII CII A 3_local3!39|VIII CII A 3_local3!40|VIII CII A 3_local3!41|VIII CII A 3_local4!40|VIII CII A 3_local4!41|VIII CII A 3_local4!42|VIII CII C!12|VIII CII C!13|VIII CII C!14
studii generale,Studii generale,VII,,,3,VII CI !23|VII CI !38|VII CI !58
studii medii,Studii medii,VII,,,3,VII CI !22|VII CI !37|VII CI !57
studii postliceale,Studii postliceale,VII,,,3,VII CI !21|VII CI !36|VII CI !56
studii superioare,Studii superioare,VII,,,3,VII CI !19|VII CI !34|VII CI !54
studii superioare de scurta durata,Studii superioare de scurta durată,VII,,,3,VII CI !20|VII CI !35|VII CI !55
subcomisar de politie,subcomisar de poliţie,VI,,,1,VI_Armata!19
subinginer,Subinginer,VIII,personal contractual,82.40108010.01.1|82.40108010.01.2|82.40108010.01.3|82.40108010.01.4|82.40202004.05.1|82.40202004.05.2|82.40202004.05.3|82.40202004.05.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,36,VIII CII A 1!115|VIII CII A 1!116|VIII CII A 1!117|VIII CII A 1!118|VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32|VIII CII B!28|VIII CII B!29|VIII CII B!30|VIII CII B!31|VIII CII G!16|VIII CII G!17|VIII CII G!18|VIII CII G!19|VIII CII H!14|VIII CII H!15|VIII CII H!16|VIII CII H!17
subinginer asistent veterinar tehnician conductor tehnic referent de specialitate,"Subinginer, asistent veterinar, tehnician* , conductor tehnic, referent de specialitate",VIII,personal contractual,82.40124009.05.1|82.40124010.05.1|82.40124011.05.1|82.40124012.05.1,4,VIII CII A 1!232|VIII CII A 1!233|VIII CII A 1!234|VIII CII A 1!235
subinginer cadastru,Subinginer cadastru,VIII,personal contractual,82.40108009.01.1|82.40108009.01.2|82.40108009.01.3|82.40108009.01.4,4,VIII CII A 1!111|VIII CII A 1!112|VIII CII A 1!113|VIII CII A 1!114
subinginer cartograf,Subinginer cartograf,VIII,personal contractual,82.40206002.01.1|82.40206002.01.2|82.40206002.01.3|82.40206002.01.4,4,VIII CII B!57|VIII CII B!58|VIII CII B!59|VIII CII B!60
subinspector de politie,subinspector de poliţie,VI,,,1,VI_Armata!22
subprefect,Subprefect,IX,,,1,IX B!70
subsecretar de stat,Subsecretar de stat,IX,,,1,IX B!14
subsecretarii de stat din ministerul afacerilor interne,subsecretarii de stat din Ministerul Afacerilor Interne,VI,,,1,VI_Armata!12
supraveghetor de noapte,Supraveghetor de noapte,II,,21.00304003.01.1,1,II CI 3!67
supraveghetor de noapte debutant,Supraveghetor de noapte debutant,II,,21.00304004.01.1,1,II CI 3!68
supraveghetor muzeu controlor bilete,"Supraveghetor muzeu, controlor bilete",III,,33.00201008.02.1|33.00202008.02.1,2,III CIII!33|III CIII!63
supraveghetor noapte,Supraveghetor noapte,I,,11.00601023.01.1|11.00601023.01.2,4,I CI 4-5-6!248|I CI 4-5-6!249|I CI 4-5-6!250|I CI 4-5-6!251
supraveghetor sala,Supraveghetor sală,III,,32.00201005.01.1|32.00202005.01.1,2,III CII!35|III CII!65
supraveghetor sala controlor bilete garderobier plasator sala,"Supraveghetor sală, controlor bilete, garderobier, plasator sală",III,,31.00201011.04.1|31.00202011.04.1,2,III CI !58|III CI !113
tehnician,Tehnician,I|VIII,personal contractual,11.00601019.03.1|11.00601019.03.2|11.00601019.03.3|11.00601019.03.4|82.40202006.04.1|82.40202006.04.2|82.40202006.04.3|82.40202006.04.4,13,I CI 4-5-6!232|I CI 4-5-6!233|I CI 4-5-6!234|I CI 4-5-6!235|I CI 4-5-6!236|VIII CII B!36|VIII CII B!37|VIII CII B!38|VIII CII B!39|VIII CII G!20|VIII CII G!21|VIII CII G!22|VIII CII G!23
tehnician aviatie,Tehnician aviaţie,VIII,personal contractual,,5,VIII CII F!58|VIII CII F!59|VIII CII F!60|VIII CII F!61|VIII CII F!62
tehnician cadastru,Tehnician cadastru,VIII,personal contractual,82.40108012.01.1|82.40108012.01.2|82.40108012.01.3|82.40108012.01.4,4,VIII CII A 1!123|VIII CII A 1!124|VIII CII A 1!125|VIII CII A 1!126
tehnician conductor tehnic,"tehnician**), conductor tehnic",VIII,personal contractual,,4,VIII CII G!16|VIII CII G!17|VIII CII G!18|VIII CII G!19
tehnician criminalist,Tehnician criminalist,V,,55.00101009.01.1|55.00101009.01.2|55.00101009.01.3|55.00101009.01.4|55.00101009.01.5,5,V CV!33|V CV!34|V CV!35|V CV!36|V CV!37
tehnician criminalist debutant,Tehnician criminalist debutant,V,,52.00101014.01.1|55.00101010.01.1,2,V CII!40|V CV!38
tehnician criminalist din cadrul parchetelor,Tehnician criminalist din cadrul parchetelor,V,,52.00101013.01.1|52.00101013.01.2|52.00101013.01.3|52.00101013.01.4|52.00101013.01.5,5,V CII!35|V CII!36|V CII!37|V CII!38|V CII!39
tehnician de audiologie si protezare auditiva,tehnician de audiologie şi protezare auditivă,II,,21.00201032.27.1,1,II CI 2!36
tehnician de audiologie si protezare auditiva licentiat,tehnician de audiologie şi protezare auditivă licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
tehnician de farmacie,tehnician de farmacie,II,,21.00201032.27.1,1,II CI 2!36
tehnician de farmacie licentiat,tehnician de farmacie licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
tehnician de laborator clinic,tehnician de laborator clinic,II,,21.00201032.27.1,1,II CI 2!36
tehnician de protezare oculara,tehnician de protezare oculară,II,,21.00201032.27.1,1,II CI 2!36
tehnician de radiologie si imagistica,tehnician de radiologie şi imagistică,II,,21.00201032.27.1,1,II CI 2!36
tehnician de radiologie si imagistica licentiat,tehnician de radiologie şi imagistică licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
tehnician dentar,Tehnician dentar *,II,,21.00201042.01.1,1,II CI 2!46
tehnician dentar debutant,Tehnician dentar debutant *,II,,21.00201043.01.1,1,II CI 2!47
tehnician dentar licentiat,tehnician dentar licenţiat,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
tehnician dentar principal,Tehnician dentar principal *,II,,21.00201041.01.1,1,II CI 2!45
tehnician dentar specialist,tehnician dentar specialist,II,,21.00201032.27.1,1,II CI 2!36
tehnician dentar specializat,tehnician dentar specializat,II,,21.00201032.27.1,1,II CI 2!36
tehnician economist,Tehnician-economist,VIII,personal contractual,82.40202004.05.1|82.40202004.05.2|82.40202004.05.3|82.40202004.05.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,24,VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32|VIII CII B!28|VIII CII B!29|VIII CII B!30|VIII CII B!31
tehnician economist secretar superior interpret relatii interpret profesional conductor arhitect inspector referent subinginer arhivist,"Tehnician-economist, secretar superior, interpret relaţii, interpret profesional, conductor arhitect , inspector, referent, subinginer, arhivist;",VIII,personal contractual,82.40102004.09.1|82.40102004.09.2|82.40102004.09.3|82.40102004.09.4,4,VIII CII A 1!33|VIII CII A 1!34|VIII CII A 1!35|VIII CII A 1!36
tehnician observator conditii mediu,"Tehnician, observator condiţii mediu **)",VIII,personal contractual,,4,VIII CII H!18|VIII CII H!19|VIII CII H!20|VIII CII H!21
tehnician proiectant,Tehnician proiectant,VIII,personal contractual,82.40207003.01.1|82.40207003.01.2|82.40207003.01.3|82.40207003.01.4,4,VIII CII B!61|VIII CII B!62|VIII CII B!63|VIII CII B!64
tehnician protezist tehnician audioprotezist,"Tehnician protezist, tehnician audioprotezist",II,,21.00303046.02.1,1,II CI 3!60
tehnician superior de imagistica,tehnician superior de imagistică,II,,21.00201032.27.1,1,II CI 2!36
tehnoredactor,tehnoredactor,I,,11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4,4,I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183
timonier fluvial,Timonier fluvial,VIII,personal contractual,,1,VIII CII E!31
trezorier sef,trezorier şef,VIII,funcționar public,81.10103003.09.2|81.30110005.05.2,5,VIII_CI_A_1!17|VIII CI A 3 (local1)!14|VIII CI A 3 (local2)!13|VIII CI A 3 (local3)!13|VIII CI A 3 (local4)!13
trezorier sef adjunct,trezorier şef adjunct,VIII,funcționar public,81.10103004.12.2|81.30110006.08.2,5,VIII_CI_A_1!18|VIII CI A 3 (local1)!15|VIII CI A 3 (local2)!14|VIII CI A 3 (local3)!14|VIII CI A 3 (local4)!14
unitate de invatamant,unitate de invatamant,I,,11.00601003.01.1|11.00601003.01.2|11.00601003.01.3|11.00601003.01.4|11.00601009.01.1|11.00601009.01.2|11.00601009.01.3|11.00601009.01.4|11.00601015.01.1|11.00601015.01.2|11.00601015.01.3|11.00601015.01.4,12,I CI 4-5-6!156|I CI 4-5-6!157|I CI 4-5-6!158|I CI 4-5-6!159|I CI 4-5-6!188|I CI 4-5-6!189|I CI 4-5-6!190|I CI 4-5-6!191|I CI 4-5-6!216|I CI 4-5-6!217|I CI 4-5-6!218|I CI 4-5-6!219
viceamiral,viceamiral,VI,,,1,VI_Armata!14
vicepresedinte,Vicepreședinte*),IX|VII,,,10,VII CI !42|IX B!17|IX B!27|IX B!33|IX B!44|IX B!51|IX B!56|IX B!59|IX B!62|IX B!67
vicepresedinte al consiliului judetean,Vicepreşedinte al consiliului judeţean,IX,,,1,IX C!14
vicepresedinte autoritatea de audit,Vicepreşedinte Autoritatea de audit,IX,,,1,IX B!29
vicepresedinte club,Vicepreședinte club,VIII,personal contractual,82.40201008.03.2,1,VIII CII B!16
vicepresedintii comisiilor permanente ale senatului si camerei deputatilor,Vicepreşedinţii comisiilor permanente ale Senatului şi Camerei Deputaţilor,IX,,,1,IX A!17
vicepresedintii senatului si ai camerei deputatilor,Vicepreşedinţii Senatului şi ai Camerei Deputaţilor,IX,,,1,IX A!13
viceprim ministru,Viceprim-ministru,IX,,,1,IX B!10
viceprimar al capitalei,Viceprimar al Capitalei,IX,,,1,IX C!12
viceprimar al sectoarelor mun bucuresti,Viceprimar al sectoarelor mun. București,IX,,,1,IX C!21
viceprimar municipiu resedinta de judet,Viceprimar municipiu resedinta de judet,IX,,,1,IX C!20
viceprimar unitati administrativ teritoriale cu 10 001 pana la 50 000 locuitori,Viceprimar unităţi administrativ-teritoriale cu 10.001 pana la 50.000 locuitori,IX,,,1,IX C!23
viceprimar unitati administrativ teritoriale cu 50 001 pana la 200 000 locuitori,Viceprimar unităţi administrativ-teritoriale cu 50.001 pana la 200.000 locuitori,IX,,,1,IX C!22
viceprimar unitati administrativ teritoriale pana la 10 000 locuitori,Viceprimar unităţi administrativ-teritoriale pana la 10.000 locuitori,IX,,,1,IX C!24
